T_eV,sigma_pwba,corr_stage1_mc,corr_stage2_rel_long,corr_stage3_rel_trans,corr_stage4_density,sigma_corrected,use_mc,use_rel_long,use_rel_trans,use_density_effect
1362.286764141647,5.2772034658783885e-21,-2.8790079531491367e-22,5.298315802317082e-21,0.0,0.0,4.989302670563475e-21,1,1,0,0
1394.0828262825771,5.143449350055684e-21,-2.7489786028962195e-22,5.1645070753719315e-21,0.0,0.0,4.868551489766062e-21,1,1,0,0
1426.6210152607368,5.055272240215282e-21,-2.6369125223610006e-22,5.0764522507318634e-21,0.0,0.0,4.791580987979182e-21,1,1,0,0
1459.9186524739787,4.983148379328111e-21,-2.5340203776044283e-22,5.004513737756148e-21,0.0,0.0,4.7297463415676684e-21,1,1,0,0
1493.9934636052578,4.866673367528177e-21,-2.418576235660686e-22,4.8880265894434824e-21,0.0,0.0,4.6248157439621084e-21,1,1,0,0
1528.8635880587294,4.759180757264143e-21,-2.3112285492503113e-22,4.780549962831105e-21,0.0,0.0,4.528057902339112e-21,1,1,0,0
1564.5475886160957,4.690359712572724e-21,-2.2190416922824056e-22,4.711911703954341e-21,0.0,0.0,4.4684555433444834e-21,1,1,0,0
1601.0644613183179,4.599705198319275e-21,-2.122528441579711e-22,4.621334198585353e-21,0.0,0.0,4.387452354161304e-21,1,1,0,0
1638.4336455779846,4.5335167831891366e-21,-2.0367921557732987e-22,4.5553323745124036e-21,0.0,0.0,4.329837567611807e-21,1,1,0,0
1676.6750345276992,4.468726815183397e-21,-1.954053039253791e-22,4.490732809874025e-21,0.0,0.0,4.273321511258018e-21,1,1,0,0
1715.8089856100048,4.345657085240106e-21,-1.8591553018872203e-22,4.367556787634337e-21,0.0,0.0,4.159741555051384e-21,1,1,0,0
1755.8563314144687,4.25492591878941e-21,-1.7744078223302234e-22,4.276869143639441e-21,0.0,0.0,4.0774851365563875e-21,1,1,0,0
1796.8383907677194,4.185283096593266e-21,-1.6982574806963652e-22,4.20737123482585e-21,0.0,0.0,4.015457348523629e-21,1,1,0,0
1838.7769800823269,4.124596628644767e-21,-1.6268956542115965e-22,4.146872859536659e-21,0.0,0.0,3.961907063223608e-21,1,1,0,0
1881.6944249705555,4.0551297780865865e-21,-1.5553172192742275e-22,4.077542318168214e-21,0.0,0.0,3.899598056159164e-21,1,1,0,0
1925.6135721291987,3.961958775174336e-21,-1.4813449764176527e-22,3.984367776800113e-21,0.0,0.0,3.813824277532571e-21,1,1,0,0
1970.5578015017984,3.9045049610897264e-21,-1.4174333335972991e-22,3.927104777595728e-21,0.0,0.0,3.7627616277299965e-21,1,1,0,0
2016.5510387247464,3.821791826089496e-21,-1.3493313842203033e-22,3.844429535802733e-21,0.0,0.0,3.686858687667466e-21,1,1,0,0
2063.6177678638587,3.766238833644551e-21,-1.2899237893536905e-22,3.789068522501681e-21,0.0,0.0,3.637246454709182e-21,1,1,0,0
2111.7830444482443,3.711851260989993e-21,-1.232602204551177e-22,3.734876785432724e-21,0.0,0.0,3.588591040534875e-21,1,1,0,0
2161.0725088083764,3.586789208458452e-21,-1.164151399726154e-22,3.6095586200608994e-21,0.0,0.0,3.470374068485837e-21,1,1,0,0
2211.5123997254886,3.5234487187390995e-21,-1.1088616330097884e-22,3.546338469195113e-21,0.0,0.0,3.412562555438121e-21,1,1,0,0
2263.1295683995295,3.471426976951101e-21,-1.0577147294705585e-22,3.4945055233565865e-21,0.0,0.0,3.365655504004045e-21,1,1,0,0
2315.951492743152,3.420526736222769e-21,-1.0083725300886869e-22,3.443798049363755e-21,0.0,0.0,3.3196894832139004e-21,1,1,0,0
2370.006292009328,3.354459716664218e-21,-9.577579298033785e-23,3.3778146234049274e-21,0.0,0.0,3.2586839236838803e-21,1,1,0,0
2425.322741760353,3.2904602830096435e-21,-9.092191392441855e-23,3.3139047326715343e-21,0.0,0.0,3.199538369085225e-21,1,1,0,0
2481.9302891862553,3.22115844104221e-21,-8.612509782931787e-23,3.244645221625277e-21,0.0,0.0,3.1350333432128922e-21,1,1,0,0
2539.859068780724,3.151396658580112e-21,-8.160203609085834e-23,3.174911533462053e-21,0.0,0.0,3.0697946224892536e-21,1,1,0,0
2599.139918382933,3.104801278659556e-21,-7.750653910776525e-23,3.128509654236384e-21,0.0,0.0,3.0272947395517906e-21,1,1,0,0
2659.8043955937583,3.0592746065657204e-21,-7.355516198601007e-23,3.0831810534723422e-21,0.0,0.0,2.9857194445797103e-21,1,1,0,0
2721.8847945751795,2.984253696129227e-21,-6.930408508685308e-23,3.0081186770853283e-21,0.0,0.0,2.914949611042374e-21,1,1,0,0
2785.414163241766,2.929777315182188e-21,-6.548585995587056e-23,2.9537539896155848e-21,0.0,0.0,2.8642914552263174e-21,1,1,0,0
2850.426320853435,2.8870434368752467e-21,-6.195618514464526e-23,2.9112223537654192e-21,0.0,0.0,2.8250872517306015e-21,1,1,0,0
2916.955876018796,2.8453718495102046e-21,-5.854967268313735e-23,2.869758488960226e-21,0.0,0.0,2.7868221768270672e-21,1,1,0,0
