pair,r_angstrom,single_configuration_g,epsr_mean_g
HH,2.445,1.5721876313359175,1.5290029160666676
HH,2.4749999999999996,1.3656242761888469,1.3728482632666688
HH,2.505,1.2496505510747449,1.220088868800001
HH,2.535,1.1387516482966087,1.0767815233999998
HH,2.565,0.9939436360294185,0.9483437014466665
HH,2.5949999999999998,0.8071442077602359,0.8356828769400005
HH,2.625,0.8011258326804631,0.7418359099666665
HH,2.655,0.6024029008887343,0.6637102231600004
HH,2.6849999999999996,0.5261882759581376,0.5992414808800007
HH,2.715,0.5530289578647698,0.5472028805466669
HH,2.745,0.47713817791328816,0.5069139974866665
HH,2.775,0.47606804436029015,0.4770872755466668
HH,2.8049999999999997,0.46593932324263243,0.4539114342933336
HH,2.835,0.44380259072947426,0.43821722306
HH,2.865,0.4207615797147513,0.4294986144199999
HH,2.8949999999999996,0.440797331034079,0.4240927147733334
HH,2.925,0.4351106084895453,0.42246326792
HH,2.955,0.43442575530112937,0.42628069102
HH,2.985,0.41144037677803086,0.4341663103733333
HH,3.0149999999999997,0.44222123728148877,0.44577008675333313
HH,3.045,0.4457632036925081,0.4616576815599999
HH,3.075,0.5059673430013409,0.4807622156866667
HH,3.105,0.4756832883952209,0.50274871582
HH,3.135,0.524230700144942,0.5259506597219907
HH,3.165,0.5779258216817647,0.55193865581
HH,3.195,0.6822124776788863,0.5820155095199997
HH,3.2249999999999996,0.6464434083318287,0.6140110895599997
HH,3.255,0.6439341378346563,0.64585847996
HH,3.285,0.6663300778209197,0.6807515985000002
HH,3.315,0.6697809414917166,0.71771909508
HH,3.3449999999999998,0.7995053872160878,0.7549376485399997
HH,3.375,0.7170094353445774,0.7943210281399999
HH,3.405,0.8765705462991595,0.8337236523799997
HH,3.4349999999999996,0.8625258474493759,0.8745351598699993
HH,3.465,0.9101386990833934,0.9148124456599996
HH,3.495,0.9212331839227935,0.9528633145300003
HH,3.525,0.9671332123657378,0.99166709618
HH,3.5549999999999997,1.0124792104678129,1.0296200944999998
HH,3.585,1.0022129483116922,1.0630890994
HH,3.6149999999999998,1.076630701499775,1.0929993826999997
HH,3.6449999999999996,1.1548650456496745,1.1214448063999995
HH,3.675,1.1717208997475177,1.1446088265999999
HH,3.705,1.1631340607515188,1.1632338984000001
HH,3.735,1.220623007211721,1.1789132376
HH,3.7649999999999997,1.1722906724797781,1.1892583314999998
HH,3.795,1.1842971830101152,1.1953998969
HH,3.825,1.1677278449667257,1.1985937419
HH,3.8549999999999995,1.2143914465808732,1.1983592113000001
HH,3.885,1.193833250837022,1.1939334036
HH,3.915,1.201464961982857,1.1893796856
HH,3.945,1.1969038190484078,1.1848349055
HH,3.9749999999999996,1.2093636547081277,1.1784863248000002
HH,4.005,1.1295419624312815,1.1729090597
HH,4.035,1.1449754311507336,1.1680689723000002
HH,4.0649999999999995,1.239495434740236,1.1640482695910137
HH,4.095,1.1378358395514838,1.1618618928
HH,4.125,1.1146908848489703,1.1618786094
HH,4.154999999999999,1.18556077358889,1.1644407321999999
HH,4.1850000000000005,1.1581181753657126,1.1679072300000002
HH,4.215,1.1480649570538481,1.1717882155928137
HH,4.244999999999999,1.209659096329164,1.1744915365
HH,4.275,1.1656333135302495,1.1760915701666668
HH,4.305,1.1899229907074593,1.1804837226333333
HH,4.335,1.2119245376112773,1.1843755368333333
HH,4.365,1.1804651303925333,1.1843009791006966
HH,4.395,1.2025097529491755,1.184618
HH,4.425,1.2050549686149659,1.1826455
HH,4.455,1.1796085690831435,1.1779380000000002
HH,4.484999999999999,1.1251784899320376,1.1725225000000001
HH,4.515000000000001,1.169295966226422,1.164236655378154
HH,4.545,1.1778934213414574,1.1543388491000002
HH,4.574999999999999,1.0854023441310146,1.1448142858666668
HH,4.605,1.077981215495767,1.1337579512333331
HH,4.635,1.105580664727628,1.119351763774541
HH,4.664999999999999,1.123927808303879,1.1042694926000003
HH,4.695,1.0993362806164548,1.0893140014666665
HH,4.725,1.0397722793900923,1.0747204443333334
HH,4.755,1.1080778016489932,1.0610398797333331
HH,4.785,1.0490978740156236,1.0478970907969734
HH,4.8149999999999995,1.0195815188228603,1.0349867731000002
HH,4.845,1.0244809800907773,1.0229831276
HH,4.875,1.0530066684818375,1.0123759938
HH,4.904999999999999,1.0283987082598776,1.0045915630000002
HH,4.9350000000000005,0.973505997366205,0.996671341325289
HH,4.965,0.9870417460333766,0.9879125240666666
HH,4.994999999999999,0.9967791435927991,0.9822298412000001
HH,5.025,1.0050932095028395,0.9778391796666666
HH,5.055,1.0136942116923173,0.9751965248933333
HH,5.084999999999999,0.9984840487994077,0.9739299957601414
HH,5.115,0.9916751152828849,0.97316287695
HH,5.145,0.9592900093368061,0.9736056254666667
HH,5.175,0.9064454457928296,0.9751256677333333
HH,5.205,0.9435709191130134,0.9776533486850438
HH,5.234999999999999,0.9916676353621556,0.9793840002
HH,5.265,0.976824436267138,0.980998254
HH,5.295,1.020311294840443,0.98420091478
