projectile,target,projectile_energy_ev,area_quantile,theta_cm_rad
H,H,1615.5980984398745,3.814697265625e-06,3.0591699107252222
H,H,1615.5980984398745,7.62939453125e-06,3.0250952835279414
H,H,1615.5980984398745,1.52587890625e-05,2.9770265736020289
H,H,1615.5980984398745,3.0517578125e-05,2.9093841939470528
H,H,1615.5980984398745,4.57763671875e-05,2.8578320731160543
H,H,1615.5980984398745,6.103515625e-05,2.8146621521063757
H,H,1615.5980984398745,9.1552734375e-05,2.7429482694725693
H,H,1615.5980984398745,0.0001220703125,2.68328063863849
H,H,1615.5980984398745,0.00018310546875,2.5850707999368314
H,H,1615.5980984398745,0.000244140625,2.5043459324945494
H,H,1615.5980984398745,0.00030517578125,2.4349567663613367
H,H,1615.5980984398745,0.0003662109375,2.3737131544372998
H,H,1615.5980984398745,0.00048828125,2.2686521759096889
H,H,1615.5980984398745,0.0006103515625,2.1801545554585404
H,H,1615.5980984398745,0.000732421875,2.1035074378429601
H,H,1615.5980984398745,0.0008544921875,2.0358629044811876
H,H,1615.5980984398745,0.0009765625,1.9753384211435627
H,H,1615.5980984398745,0.0010986328125,1.9206106994357657
H,H,1615.5980984398745,0.001220703125,1.8707069602318136
H,H,1615.5980984398745,0.00146484375,1.7825736426339178
H,H,1615.5980984398745,0.001708984375,1.7067046760098248
H,H,1615.5980984398745,0.001953125,1.6403261626830319
H,H,1615.5980984398745,0.002197265625,1.5815108673724085
H,H,1615.5980984398745,0.00244140625,1.5288610030719294
H,H,1615.5980984398745,0.002685546875,1.4813287959170423
H,H,1615.5980984398745,0.0029296875,1.438107988567372
H,H,1615.5980984398745,0.003173828125,1.3985647540861532
H,H,1615.5980984398745,0.00341796875,1.3621918470629699
H,H,1615.5980984398745,0.00390625,1.2973813288472829
H,H,1615.5980984398745,0.00439453125,1.2411615341102724
H,H,1615.5980984398745,0.0048828125,1.1917602542349737
H,H,1615.5980984398745,0.00537109375,1.1478844411737534
H,H,1615.5980984398745,0.005859375,1.108563800968791
H,H,1615.5980984398745,0.00634765625,1.0730531411872235
H,H,1615.5980984398745,0.0068359375,1.0407688499445924
H,H,1615.5980984398745,0.00732421875,1.0112461500857393
H,H,1615.5980984398745,0.0078125,0.98410949714432627
H,H,1615.5980984398745,0.0087890625,0.93581803952535747
H,H,1615.5980984398745,0.009765625,0.89400709393770095
H,H,1615.5980984398745,0.0107421875,0.85733821737652161
H,H,1615.5980984398745,0.01171875,0.82483171890381612
H,H,1615.5980984398745,0.0126953125,0.79575147723451245
H,H,1615.5980984398745,0.013671875,0.76953205768199284
H,H,1615.5980984398745,0.0146484375,0.74573087944438887
H,H,1615.5980984398745,0.015625,0.72399583680405577
H,H,1615.5980984398745,0.0166015625,0.70404279086930899
H,H,1615.5980984398745,0.017578125,0.6856395571056968
H,H,1615.5980984398745,0.01953125,0.6527468431648642
H,H,1615.5980984398745,0.021484375,0.62412651599929125
H,H,1615.5980984398745,0.0234375,0.5989223550462035
H,H,1615.5980984398745,0.025390625,0.5765008843542212
H,H,1615.5980984398745,0.02734375,0.55638195827124104
H,H,1615.5980984398745,0.029296875,0.53819409244995509
H,H,1615.5980984398745,0.03125,0.52164474302412156
H,H,1615.5980984398745,0.033203125,0.50649995781938673
H,H,1615.5980984398745,0.03515625,0.49257009486840797
H,H,1615.5980984398745,0.0390625,0.46775941203298865
H,H,1615.5980984398745,0.04296875,0.44625496746568727
H,H,1615.5980984398745,0.046875,0.42737586457072663
H,H,1615.5980984398745,0.05078125,0.41062293407260464
H,H,1615.5980984398745,0.0546875,0.39562074903773015
H,H,1615.5980984398745,0.05859375,0.38208076535503155
H,H,1615.5980984398745,0.0625,0.36977705411478246
