cell_id,lat_deg,lon_w_deg,hemisphere,e_min_mev,e_max_mev,is_valid,n_assigned_bins
474,-3,294,trailing,0.01,20.9730132,1,1172
475,-3,306,trailing,0.01,20.9730132,1,1172
476,-3,318,trailing,0.01,20.8766029,1,1172
477,-3,330,trailing,0.01,20.7806357,1,1171
478,-3,342,trailing,0.01,20.5900228,1,1169
479,-3,354,trailing,0.01,18.9512918,1,1157
480,-9,6,leading,31.9456807,100,1,175
481,-9,18,leading,26.1192377,100,1,206
482,-9,30,leading,24.3755,100,1,217
483,-9,42,leading,23.6195509,100,1,221
484,-9,54,leading,23.2041279,100,1,224
485,-9,66,leading,22.9661585,100,1,226
486,-9,78,leading,22.8605859,100,1,227
487,-9,90,leading,22.8605859,100,1,227
488,-9,102,leading,22.8605859,100,1,227
489,-9,114,leading,22.9661585,100,1,226
490,-9,126,leading,23.2041279,100,1,224
491,-9,138,leading,23.6195509,100,1,221
492,-9,150,leading,24.3755,100,1,217
493,-9,162,leading,26.1192377,100,1,206
494,-9,174,leading,31.9456807,100,1,175
495,-9,186,trailing,0.01,10.1282552,1,1061
496,-9,198,trailing,0.01,15.9074586,1,1130
497,-9,210,trailing,0.01,17.9319209,1,1148
498,-9,222,trailing,0.01,18.7774588,1,1155
499,-9,234,trailing,0.01,19.2150634,1,1159
500,-9,246,trailing,0.01,19.4825062,1,1161
501,-9,258,trailing,0.01,19.5724784,1,1162
502,-9,270,trailing,0.01,19.5724784,1,1162
503,-9,282,trailing,0.01,19.5724784,1,1162
504,-9,294,trailing,0.01,19.4825062,1,1161
505,-9,306,trailing,0.01,19.2150634,1,1159
506,-9,318,trailing,0.01,18.7774588,1,1155
507,-9,330,trailing,0.01,17.9319209,1,1148
508,-9,342,trailing,0.01,15.9074586,1,1130
509,-9,354,trailing,0.01,10.1282552,1,1061
510,-15,6,leading,43.6018578,100,1,128
511,-15,18,leading,33.5834345,100,1,168
512,-15,30,leading,29.533752,100,1,187
513,-15,42,leading,27.5847937,100,1,198
514,-15,54,leading,26.577975,100,1,203
515,-15,66,leading,25.9902161,100,1,207
516,-15,78,leading,25.7082858,100,1,209
517,-15,90,leading,25.5995481,100,1,209
518,-15,102,leading,25.7082858,100,1,209
519,-15,114,leading,25.9902161,100,1,207
520,-15,126,leading,26.577975,100,1,203
521,-15,138,leading,27.5847937,100,1,198
522,-15,150,leading,29.533752,100,1,187
523,-15,162,leading,33.5834345,100,1,168
524,-15,174,leading,43.6018578,100,1,128
525,-15,186,trailing,0.01,0.730232899,1,658
526,-15,198,trailing,0.01,8.08574404,1,1026
527,-15,210,trailing,0.01,12.460853,1,1093
528,-15,222,trailing,0.01,14.5741015,1,1117
529,-15,234,trailing,0.01,15.6890916,1,1128
530,-15,246,trailing,0.01,16.3533527,1,1134
531,-15,258,trailing,0.01,16.6575377,1,1137
532,-15,270,trailing,0.01,16.8117455,1,1138
533,-15,282,trailing,0.01,16.6575377,1,1137
534,-15,294,trailing,0.01,16.3533527,1,1134
535,-15,306,trailing,0.01,15.6890916,1,1128
536,-15,318,trailing,0.01,14.5741015,1,1117
537,-15,330,trailing,0.01,12.460853,1,1093
538,-15,342,trailing,0.01,8.08574404,1,1026
539,-15,354,trailing,0.01,0.730232899,1,658
540,-21,6,leading,55.866538,100,1,90
541,-21,18,leading,43.0119355,100,1,130
542,-21,30,leading,36.7715827,100,1,154
543,-21,42,leading,33.4150747,100,1,168
544,-21,54,leading,31.4773793,100,1,178
545,-21,66,leading,30.4609673,100,1,183
546,-21,78,leading,29.8608011,100,1,186
547,-21,90,leading,29.7169284,100,1,186
548,-21,102,leading,29.8608011,100,1,186
549,-21,114,leading,30.4609673,100,1,183
550,-21,126,leading,31.4773793,100,1,178
551,-21,138,leading,33.4150747,100,1,168
552,-21,150,leading,36.7715827,100,1,154
553,-21,162,leading,43.0119355,100,1,130
554,-21,174,leading,55.866538,100,1,90
555,-21,186,trailing,0.01,0.132308481,1,397
556,-21,198,trailing,0.01,0.837177537,1,679
557,-21,210,trailing,0.01,4.98136855,1,952
558,-21,222,trailing,0.01,8.57959393,1,1035
559,-21,234,trailing,0.01,10.6540261,1,1069
560,-21,246,trailing,0.01,11.7905962,1,1084
561,-21,258,trailing,0.01,12.403572,1,1092
562,-21,270,trailing,0.01,12.6342881,1,1095
563,-21,282,trailing,0.01,12.403572,1,1092
564,-21,294,trailing,0.01,11.7905962,1,1084
565,-21,306,trailing,0.01,10.6540261,1,1069
566,-21,318,trailing,0.01,8.57959393,1,1035
567,-21,330,trailing,0.01,4.98136855,1,952
568,-21,342,trailing,0.01,0.837177537,1,679
569,-21,354,trailing,0.01,0.132308481,1,397
570,-27,6,leading,68.055921,100,1,59
571,-27,18,leading,53.5946476,100,1,96
572,-27,30,leading,45.4089412,100,1,121
573,-27,42,leading,40.6940619,100,1,138
574,-27,54,leading,37.9233545,100,1,149
575,-27,66,leading,36.2002574,100,1,156
576,-27,78,leading,35.3867043,100,1,160
577,-27,90,leading,35.1536872,100,1,161
578,-27,102,leading,35.3867043,100,1,160
579,-27,114,leading,36.2002574,100,1,156
580,-27,126,leading,37.9233545,100,1,149
581,-27,138,leading,40.6940619,100,1,138
582,-27,150,leading,45.4089412,100,1,121
583,-27,162,leading,53.5946476,100,1,96
584,-27,174,leading,68.055921,100,1,59
585,-27,186,trailing,0.00956078298,0.0616479309,1,287
586,-27,198,trailing,0.01,0.152065747,1,418
587,-27,210,trailing,0.01,0.42315785,1,575
588,-27,222,trailing,0.01,1.671681,1,785
589,-27,234,trailing,0.01,4.20060317,1,926
590,-27,246,trailing,0.01,5.93453497,1,979
591,-27,258,trailing,0.01,6.87731172,1,1002
592,-27,270,trailing,0.01,7.20159534,1,1009
593,-27,282,trailing,0.01,6.87731172,1,1002
594,-27,294,trailing,0.01,5.93453497,1,979
595,-27,306,trailing,0.01,4.20060317,1,926
596,-27,318,trailing,0.01,1.671681,1,785
597,-27,330,trailing,0.01,0.42315785,1,575
598,-27,342,trailing,0.01,0.152065747,1,418
599,-27,354,trailing,0.00956078298,0.0616479309,1,287
600,-33,6,leading,79.914387,100,1,35
601,-33,18,leading,64.964377,100,1,67
602,-33,30,leading,55.2782217,100,1,91
603,-33,42,leading,49.2420164,100,1,109
604,-33,54,leading,45.5387926,100,1,121
605,-33,66,leading,43.3149398,100,1,129
606,-33,78,leading,42.0945798,100,1,133
607,-33,90,leading,41.7983392,100,1,134
608,-33,102,leading,42.0945798,100,1,133
609,-33,114,leading,43.3149398,100,1,129
610,-33,126,leading,45.5387926,100,1,121
611,-33,138,leading,49.2420164,100,1,109
612,-33,150,leading,55.2782217,100,1,91
613,-33,162,leading,64.964377,100,1,67
614,-33,174,leading,79.914387,100,1,35
615,-33,186,trailing,0.00693129409,0.0368385719,1,257
616,-33,198,trailing,0.01,0.0694128007,1,298
617,-33,210,trailing,0.01,0.1301839,1,394
618,-33,222,trailing,0.01,0.240264908,1,488
619,-33,234,trailing,0.01,0.431337691,1,577
620,-33,246,trailing,0.01,0.74633957,1,661
621,-33,258,trailing,0.01,1.13508272,1,726
622,-33,270,trailing,0.01,1.33987268,1,751
623,-33,282,trailing,0.01,1.13508272,1,726
624,-33,294,trailing,0.01,0.74633957,1,661
625,-33,306,trailing,0.01,0.431337691,1,577
626,-33,318,trailing,0.01,0.240264908,1,488
627,-33,330,trailing,0.01,0.1301839,1,394
628,-33,342,trailing,0.01,0.0694128007,1,298
629,-33,354,trailing,0.00693129409,0.0368385719,1,257
630,-39,6,leading,91.3338221,100,1,14
631,-39,18,leading,76.2927604,100,1,42
632,-39,30,leading,65.8420628,100,1,64
633,-39,42,leading,58.8690998,100,1,82
634,-39,54,leading,54.3962532,100,1,94
635,-39,66,leading,51.5330378,100,1,102
636,-39,78,leading,50.0281834,100,1,107
637,-39,90,leading,49.5175113,100,1,108
638,-39,102,leading,50.0281834,100,1,107
639,-39,114,leading,51.5330378,100,1,102
640,-39,126,leading,54.3962532,100,1,94
641,-39,138,leading,58.8690998,100,1,82
642,-39,150,leading,65.8420628,100,1,64
643,-39,162,leading,76.2927604,100,1,42
644,-39,174,leading,91.3338221,100,1,14
645,-39,186,trailing,0.00553706919,0.0251602826,1,233
646,-39,198,trailing,0.00925492237,0.040634605,1,228
647,-39,210,trailing,0.01,0.0664371824,1,291
648,-39,222,trailing,0.01,0.102448417,1,357
649,-39,234,trailing,0.01,0.146751751,1,412
650,-39,246,trailing,0.01,0.193483227,1,455
651,-39,258,trailing,0.01,0.232639439,1,483
652,-39,270,trailing,0.01,0.249286264,1,494
653,-39,282,trailing,0.01,0.232639439,1,483
654,-39,294,trailing,0.01,0.193483227,1,455
655,-39,306,trailing,0.01,0.146751751,1,412
656,-39,318,trailing,0.01,0.102448417,1,357
657,-39,330,trailing,0.01,0.0664371824,1,291
658,-39,342,trailing,0.00925492237,0.040634605,1,228
659,-39,354,trailing,0.00553706919,0.0251602826,1,233
660,-45,6,leading,100.536662,100,0,0
